name,source,should_map_to_label,should_map_to_label_source,kingdom,phylum,order,family,genus,species,oval,arborescent,encrusting,digitate,meandroid,columnar,free_living,plating,fleshy,submassive,round,massive,tubular,bushy,external_polyps,foliose,solitary,brain,phaceloid,branching,tabular,corymbose,lobed_brain,cup_coral,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class
acropora abrolhosensis,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_abrolhosensis,False,True,False,not given,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora abrotanoides,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_abrotanoides,False,not given,False,not given,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora aculeus,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_aculeus,False,False,False,not given,False,False,False,False,False,False,False,False,False,not given,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora acuminata,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_acuminata,False,not given,False,not given,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora anthocercis,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_anthocercis,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora arabensis,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_arabensis,False,not given,False,True,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
undaria,mermaid,agaricia,mermaid,animalia,cnidaria,scleractinia,agariciidae,agaricia,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
undaria agaricites,mermaid,agaricia agaricites,mermaid,animalia,cnidaria,scleractinia,agariciidae,agaricia,agaricia_agaricites,not given,not given,True,not given,not given,not given,not given,True,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
undaria humilis,mermaid,agaricia humilis,mermaid,animalia,cnidaria,scleractinia,agariciidae,agaricia,agaricia_humilis,not given,not given,True,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
undaria tenuifolia,mermaid,agaricia tenuifolia,mermaid,animalia,cnidaria,scleractinia,agariciidae,agaricia,agaricia_tenuifolia,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
unknown,mermaid,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
valonia,mermaid,,,plantae,chlorophyta,cladophorales,valoniaceae,valonia,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,ulvophyceae
ventricaria,mermaid,valonia,mermaid,plantae,chlorophyta,cladophorales,valoniaceae,valonia,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,ulvophyceae
turf algae,coralnet,turf algae,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,none
sand,coralnet,sand,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
cred-turf growing on hard substrate,coralnet,turf algae,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,none
cca (crustose coralline algae),coralnet,crustose coralline algae,mermaid,not_given,rhodophyta,corallinales,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,florideophyceae
macroalgae,coralnet,macroalgae,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,True,False,none
substrate: consolidated (hard),coralnet,hard substrate,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
bleached porites,coralnet,porites bleached,coralscapes,animalia,cnidaria,scleractinia,poritidae,porites,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,False,hexacorallia
porites bleached,coralscapes,,,animalia,cnidaria,scleractinia,poritidae,porites,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,False,hexacorallia
porites hawaiiensis,coralnet,,,animalia,cnidaria,scleractinia,poritidae,porites,porites_hawaiiensis,False,False,True,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,not given,False,not given,False,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
branching soft coral,coralnet,soft coral (malacalcyonacea) alive,coralscapes,animalia,cnidaria,malacalcyonacea,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,octocorallia
soft coral (malacalcyonacea) alive,coralscapes,,,animalia,cnidaria,malacalcyonacea,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,octocorallia
acropora (branching)-branching,mosaics_ucsd,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora (corymbose)-corymbose,mosaics_ucsd,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora (plating)-tabular,mosaics_ucsd,table acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,True,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
calcareous algae,benthos_yuval,calcifying algae,coralnet,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,none
coral,benthos_yuval,hard coral alive,coralscapes,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
other,benthos_yuval,other,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
rock,benthos_yuval,hard substrate,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
sand,benthos_yuval,sand,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
soft coral,benthos_yuval,soft coral (malacalcyonacea) alive,coralscapes,animalia,cnidaria,malacalcyonacea,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,octocorallia
sponge,benthos_yuval,sponge,coralscapes,animalia,porifera,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,not_given
acan,moorea_labeled_corals,acanthastrea,mermaid,animalia,cnidaria,scleractinia,lobophylliidae,acanthastrea,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acrop,moorea_labeled_corals,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
astreo,moorea_labeled_corals,astreopora,mermaid,animalia,cnidaria,scleractinia,acroporidae,astreopora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora,pacific_labeled_corals,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
all other,pacific_labeled_corals,other,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
bare substrate,pacific_labeled_corals,hard substrate,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
soft coral,pacific_labeled_corals,soft coral (malacalcyonacea) alive,coralscapes,animalia,cnidaria,malacalcyonacea,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,octocorallia
sponges,pacific_labeled_corals,sponge,coralscapes,animalia,porifera,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,not_given
transect hardware,pacific_labeled_corals,transect tools,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,True,False,False,none
turf,pacific_labeled_corals,turf algae,mermaid,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,none
unclear,pacific_labeled_corals,background,coralscapes,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,True,False,False,False,False,False,none
aarcheri,catlin_seaview,aplysina archeri,mermaid,animalia,porifera,verongiida,aplysinidae,aplysina,aplysina_archeri,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,demospongiae
acervicornis,catlin_seaview,acropora cervicornis,mermaid,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_cervicornis,not given,True,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acompresa,catlin_seaview,amphimedon compressa,mermaid,animalia,porifera,haplosclerida,niphatidae,amphimedon,amphimedon_compressa,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,demospongiae
acropora corymbose/tabular/plate,catlin_seaview,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acropora digitate,catlin_seaview,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
acroporidae other,catlin_seaview,acroporidae,mermaid,animalia,cnidaria,scleractinia,acroporidae,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,hexacorallia
